SURNAME,GIVEN NAMES,POSTCODE,HONOUR,REMARKS
MENHINNITT,Raymond Paul,0800,OAM,
BOLAND,Judith Maree,0810,AM,
MCADAM,Elliot,0860,AM,
RADKE,Olga Josephine,0870,OAM,
REILLY,Lesley Marlene,0871,OAM,
LONG,Graham Stuart,1335,AM,
BURKE,Matthew,2000,OAM,
BURKE,Simon Gareth,2000,AO,
FERRARI,Paolo,2000,AO,
GARNER,Keith Vincent,2000,AM,
MORGAN,Geoffrey Keith,2000,AM,
SCHOTT,Kerry Elizabeth,2000,AO,
ELELMAN,Susie,2007,AM,
BARKER,Cheryl Ruth,2009,AO,
COLEMAN-WRIGHT,Peter,2009,AO,
MORTIMER,Mary Eleanor,2009,OAM,
GRIMA,Keith Matthew,2019,OAM,
CARNEY,Terence Ross,2021,AO,
DERY,Thomas Stephan,2021,AO,
HARDY,Henrietta,2023,OAM,
COLEMAN,William Peter,2025,AO,
HERPS,Douglas Thomas,2025,OAM,Deceased
HIGGS,Stephen Francis,2025,AM,
NATION,Robert Tasman,2025,AM,
PARV,Valerie Christine,2026,AM,
LEVY,Florence,2027,AM,
MALCOLM,Darvill Alexander,2028,OAM,
POLAND,Peter Lawrence,2029,OAM,
BREW,Bruce James,2030,AM,
NORRIS,Murray David,2031,AM,
KOKKALIS,Daisy,2032,OAM,
SLATTERY,Anne-Maria,2032,OAM,
SYMONDS,Thomas Henry,2033,OAM,
BERRY,Graham Leonard,2035,OAM,
FARMER,Patrick Francis,2035,AM,
BALDWIN,Maxwell Allen,2036,OAM,
CAHILL,Maureen Patricia,2037,AM,
FRASER,David Ross,2037,AM,
CONROY,Jann Patricia,2040,AM,
TINNI,Arvo,2041,AM,
WRIGHT,Fredrick Allan Clive,2047,AM,
YORK,Jeannette Dorothy,2047,OAM,
PATTISON,Philippa Eleanor,2050,AO,
FINLAY,Ronald Arthur,2060,AM,
LEVY,Malcolm Philip,2060,OAM,
LINDSAY,Patrick John,2060,AM,
TYSOE,Marie Irene,2060,OAM,
WILLIAMS,Clive,2060,OAM,
AUSTIN,Clive Norman,2061,AM,
RUBENSOHN,Roma Lois,2061,OAM,
STANTON,David Alan,2068,AM,
CLARK,Samuel Stuart,2071,AM,
FREW,Charles William,2073,OAM,
REID,Thomas Gordon,2074,OAM,
DAILY,Susan Mary,2076,OAM,
MILES,Richard Reynolds,2076,OAM,
SCARLETT,Stephen Hugh,2076,OAM,
SIMPSON,Stephen James,2076,AC,
KLINTFALT,Carol Jean,2077,OAM,Deceased
SHADIE,Kenneth George,2083,OAM,
SMITH,Richard Harold,2084,AC,
RIZK,Joseph Toufic,2087,OAM,
ANDERSON,Marjorie,2088,AM,
GRAHAM,Ronald,2088,AM,
WHITWORTH,Craig,2088,AM,
THOMPSON,Richard Hugh,2089,OAM,
THOMSON,John McLeod,2097,OAM,
LANGBEIN,Evelyn Mary,2099,OAM,
NAY,Gordon Leslie,2100,OAM,
COLLINS,Charles Russell,2101,OAM,
GALE,Colin George,2101,OAM,
NOLAN,Douglas Coulton,2101,OAM,
O'RYAN,James Meredith,2101,OAM,
STANILAND,Richard John,2103,OAM,
LEE,Richard John,2108,AM,
BUFFIER,Barry Desmond,2110,AM,
MCARDLE,John Patrick,2110,OAM,
HAZARD,Hugh,2111,AM,
WATKINS,John Arthur,2112,AM,
DUNK,Patricia Alison,2118,OAM,
CLOSE,Michael John,2125,OAM,
GLOCKEMANN,Theo,2125,OAM,
BATCHELOR,Marjorie Yvonne,2126,OAM,
BRANDON,Mark William,2126,OAM,
KAKAKIOS,Alyson Margaret,2132,OAM,
COLLINS,Barry Frederick,2135,AM,
KIMBERLEY,Geoffrey Craig,2141,OAM,
KITCHENER,Emily May,2144,OAM,
BIRCH,Ronald Sydney,2148,OAM,
BISCOE,Paul Thomas,2153,OAM,
LEERSON,Lynette Marie,2153,OAM,
CLARK,Kay Lynette,2154,OAM,
CLARK,Russell Donald,2154,AM,
TURNER,Hamish Andrew,2157,OAM,
NEWALL,Douglas William,2164,OAM,
MTASHAR,Amad Ismail,2171,OAM,
YALLOP,Neta May,2194,OAM,
HOLDORF,Norma Patricia,2196,OAM,
HENNESSY,Annemarie,2204,AM,
ANESTIS,Irene,2207,OAM,
HARRIMAN,Allan John,2211,OAM,
KAPLUN,Joseph Karl,2213,OAM,
THORBURN,Norma,2217,OAM,
MACARTHUR,Colin Geoffrey,2224,OAM,
ALLEN,Barry John,2228,AO,
ALEXANDER,Craig,2229,OAM,
HARRIS,Ian Andrew,2229,AM,
BOLDEMAN,John William,2230,AO,
FORD,Edgar John,2233,OAM,
SANBURG,John Raymond,2250,OAM,
TAYLOR,Alfred Strangman,2250,OAM,
ANDREWS,Kevin John,2251,OAM,
MULHALL,Dallas Phillip,2251,OAM,
PANNOWITZ,Darrell John,2251,OAM,
WILSON,Warren Robert,2251,AM,
GODDEN,Philip Kingsley,2260,OAM,
BARNETT,Rita Daisy,2261,OAM,
KILPATRICK,John Eliott,2284,AM,
THOMAS,Suzanne,2284,OAM,
HUNTER,Alan Preston,2287,OAM,
SHELDON,Allan Coleman,2287,OAM,
